week,id,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders,category,cuisine,city_code,region_code,center_type,op_area
2018-02-11,1040403.0,24.0,1885.0,136.83,136.83,0.0,0.0,1498.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-02-18,1133856.0,24.0,1885.0,135.86,134.86,0.0,0.0,1176.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-02-25,1009136.0,24.0,1885.0,135.83,136.83,0.0,0.0,1444.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-03-04,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-03-11,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-03-18,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-03-25,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-04-01,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-04-08,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-04-15,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-04-22,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-04-29,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-05-06,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-05-13,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-05-20,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-05-27,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-06-03,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-06-10,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-06-17,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-06-24,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-07-01,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-07-08,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-07-15,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-07-22,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-07-29,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-08-05,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-08-12,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-08-19,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-08-26,1260804.0,24.0,1885.0,134.83,136.83,0.0,0.0,1297.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-09-02,1124034.0,24.0,1885.0,121.28,121.28,0.0,0.0,890.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-09-09,1313556.0,24.0,1885.0,145.53,144.53,0.0,0.0,1106.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-09-16,1293490.0,24.0,1885.0,145.53,145.53,0.0,0.0,971.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-09-23,1212312.0,24.0,1885.0,146.5,146.5,0.0,0.0,1242.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-09-30,1057814.0,24.0,1885.0,145.53,144.53,0.0,0.0,1229.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-10-07,1023216.0,24.0,1885.0,145.56,143.56,0.0,0.0,1176.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-10-14,1417870.0,24.0,1885.0,145.53,145.53,0.0,0.0,1295.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-10-21,1273541.0,24.0,1885.0,144.53,145.53,0.0,0.0,1013.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-10-28,1026467.0,24.0,1885.0,143.59,142.59,0.0,0.0,1135.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-11-04,1089578.0,24.0,1885.0,141.62,143.62,0.0,0.0,1133.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-11-11,1338443.0,24.0,1885.0,145.53,146.53,0.0,0.0,1068.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-11-18,1362966.0,24.0,1885.0,146.5,147.5,0.0,0.0,879.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-11-25,1356460.0,24.0,1885.0,144.56,143.56,0.0,0.0,864.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-12-02,1436702.0,24.0,1885.0,142.62,143.62,0.0,0.0,1067.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-12-09,1321666.0,24.0,1885.0,146.53,145.53,0.0,0.0,838.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-12-16,1449594.0,24.0,1885.0,144.53,144.53,0.0,0.0,1161.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-12-23,1169199.0,24.0,1885.0,142.59,144.59,0.0,0.0,1040.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2018-12-30,1450268.0,24.0,1885.0,145.53,146.53,0.0,0.0,1160.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-01-06,1041153.0,24.0,1885.0,120.28,144.53,0.0,1.0,1268.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-01-13,1176885.0,24.0,1885.0,123.25,146.53,0.0,1.0,1485.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-01-20,1243143.0,24.0,1885.0,121.25,144.53,0.0,1.0,1836.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-01-27,1139839.0,24.0,1885.0,122.25,144.53,0.0,1.0,1242.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-02-03,1207611.0,24.0,1885.0,123.25,146.53,1.0,1.0,1647.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-02-10,1200970.0,24.0,1885.0,121.25,144.53,1.0,1.0,2322.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-02-17,1131794.0,24.0,1885.0,120.28,146.53,0.0,1.0,1931.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-02-24,1187156.0,24.0,1885.0,122.28,145.53,0.0,1.0,1890.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-03-03,1362948.0,24.0,1885.0,121.25,145.53,0.0,1.0,1338.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-03-10,1101465.0,24.0,1885.0,147.5,146.53,0.0,1.0,1201.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-03-17,1394131.0,24.0,1885.0,145.5,146.5,0.0,0.0,798.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-03-24,1221285.0,24.0,1885.0,144.53,144.53,0.0,0.0,932.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
2019-03-31,1010502.0,24.0,1885.0,145.53,146.53,0.0,0.0,1174.0,Beverages,Thai,614.0,85.0,TYPEB,3.6
